iter	Passed	Remaining
447	12947	15953
448	12975	15922
449	13003	15893
450	13031	15863
451	13060	15834
452	13090	15807
453	13120	15779
454	13150	15751
455	13176	15719
456	13206	15692
457	13236	15664
458	13267	15637
459	13294	15606
460	13322	15576
461	13352	15549
462	13381	15520
463	13410	15490
464	13440	15464
465	13472	15438
466	13501	15409
467	13530	15380
468	13560	15352
469	13591	15326
470	13620	15298
471	13649	15268
472	13677	15238
473	13706	15209
474	13736	15182
475	13767	15155
476	13800	15130
477	13828	15101
478	13857	15072
479	13887	15045
480	13918	15018
481	13948	14989
482	13978	14962
483	14007	14934
484	14036	14905
485	14067	14877
486	14097	14850
487	14130	14825
488	14159	14797
489	14188	14767
490	14217	14738
491	14248	14711
492	14277	14682
493	14306	14653
494	14336	14625
495	14365	14596
496	14395	14568
497	14423	14539
498	14451	14509
499	14479	14479
500	14508	14450
501	14537	14421
502	14567	14393
503	14597	14365
504	14629	14339
505	14658	14310
506	14686	14281
507	14715	14252
508	14746	14225
509	14775	14196
510	14805	14168
511	14833	14138
512	14863	14110
513	14892	14081
514	14921	14051
515	14952	14024
516	14983	13997
517	15015	13971
518	15044	13943
519	15073	13913
520	15100	13882
521	15130	13855
522	15159	13826
523	15193	13801
524	15223	13773
525	15254	13746
526	15283	13717
527	15312	13688
528	15341	13659
529	15371	13631
530	15401	13603
531	15430	13574
532	15458	13544
533	15489	13516
534	15518	13488
535	15546	13458
536	15576	13430
537	15606	13401
538	15635	13373
539	15665	13344
540	15694	13315
541	15723	13286
542	15754	13259
543	15786	13232
544	15816	13204
545	15845	13175
546	15877	13149
547	15905	13119
548	15936	13091
549	15966	13063
550	15997	13036
551	16025	13006
552	16056	12978
553	16089	12952
554	16118	12923
555	16147	12895
556	16177	12866
557	16205	12836
558	16235	12808
559	16265	12780
560	16294	12750
561	16324	12722
562	16351	12691
563	16380	12662
564	16410	12634
565	16439	12605
566	16466	12574
567	16495	12545
568	16523	12516
569	16552	12487
570	16581	12457
571	16610	12428
572	16639	12399
573	16669	12371
574	16699	12343
575	16730	12315
576	16760	12287
577	16789	12257
578	16818	12229
579	16847	12199
580	16876	12171
581	16904	12140
582	16934	12112
583	16962	12083
584	16991	12053
585	17018	12023
586	17050	11996
587	17080	11968
588	17107	11937
589	17135	11907
590	17163	11877
591	17192	11848
592	17220	11818
593	17253	11793
594	17283	11764
595	17314	11736
596	17343	11707
597	17375	11680
598	17403	11650
599	17433	11622
600	17464	11594
601	17493	11565
602	17523	11537
603	17553	11508
604	17583	11480
605	17612	11451
606	17641	11421
607	17672	11393
608	17702	11365
609	17731	11336
610	17765	11310
611	17795	11281
612	17823	11252
613	17852	11223
614	17882	11194
615	17914	11167
616	17943	11138
617	17973	11109
618	18004	11082
619	18034	11053
620	18067	11026
621	18097	10998
622	18127	10969
623	18165	10946
624	18199	10919
625	18228	10890
626	18259	10862
627	18289	10833
628	18317	10804
629	18349	10776
630	18379	10748
631	18410	10719
632	18438	10690
633	18466	10660
634	18494	10630
635	18522	10601
636	18551	10571
637	18581	10542
638	18611	10514
639	18640	10485
640	18670	10456
641	18704	10430
642	18732	10400
643	18763	10372
644	18792	10343
645	18821	10313
646	18848	10283
647	18878	10254
648	18909	10226
649	18937	10197
650	18966	10167
651	18994	10138
652	19024	10109
653	19052	10079
654	19081	10050
655	19109	10020
656	19139	9992
657	19167	9962
658	19196	9933
659	19223	9902
660	19253	9874
661	19283	9845
662	19311	9815
663	19340	9786
664	19368	9756
665	19397	9727
666	19427	9698
667	19457	9670
668	19487	9641
669	19517	9613
670	19547	9584
671	19576	9555
672	19606	9526
673	19635	9497
674	19664	9468
675	19699	9441
676	19729	9413
677	19758	9383
678	19787	9354
679	19813	9324
680	19842	9294
681	19870	9265
682	19898	9235
683	19927	9206
684	19955	9176
685	19983	9147
686	20009	9116
687	20037	9086
688	20065	9057
689	20095	9028
690	20125	8999
691	20154	8970
692	20183	8941
693	20212	8912
694	20242	8883
695	20270	8853
696	20300	8824
697	20328	8795
698	20356	8765
699	20385	8736
700	20414	8707
701	20442	8678
702	20470	8648
703	20499	8619
704	20526	8589
705	20554	8559
706	20583	8530
707	20611	8500
708	20640	8471
709	20669	8442
710	20699	8413
711	20728	8384
712	20756	8355
713	20785	8325
714	20814	8296
715	20843	8267
716	20873	8238
717	20903	8209
718	20931	8180
719	20959	8151
720	20987	8121
721	21016	8092
722	21045	8062
723	21073	8033
724	21102	8004
725	21131	7975
726	21160	7946
727	21189	7917
728	21218	7887
729	21249	7859
730	21278	7830
731	21305	7800
732	21333	7771
733	21362	7741
734	21393	7713
735	21423	7684
736	21451	7654
737	21481	7626
738	21509	7596
739	21537	7567
740	21566	7538
741	21596	7509
742	21624	7479
743	21654	7451
744	21685	7422
745	21714	7393
746	21743	7364
747	21773	7335
748	21801	7306
749	21833	7277
750	21863	7248
751	21893	7220
752	21921	7190
753	21952	7162
754	21981	7132
755	22010	7103
756	22037	7074
757	22065	7044
758	22095	7015
759	22124	6986
760	22154	6957
761	22186	6929
762	22215	6900
763	22244	6871
764	22274	6842
765	22303	6813
766	22331	6783
767	22359	6754
768	22387	6725
769	22417	6695
770	22445	6666
771	22472	6636
772	22500	6607
773	22527	6577
774	22555	6548
775	22583	6518
776	22613	6489
777	22644	6461
778	22672	6432
779	22702	6403
780	22732	6374
781	22761	6345
782	22791	6316
783	22820	6287
784	22851	6258
785	22879	6229
786	22909	6200
787	22937	6170
788	22965	6141
789	22994	6112
790	23022	6083
791	23050	6053
792	23078	6024
793	23108	5995
794	23135	5965
795	23163	5936
796	23178	5903
797	23206	5874
798	23236	5845
799	23264	5816
800	23293	5786
801	23319	5757
802	23348	5728
803	23375	5698
804	23404	5669
805	23434	5640
806	23464	5611
807	23493	5582
808	23519	5552
809	23549	5524
810	23579	5495
811	23607	5465
812	23639	5437
813	23671	5408
814	23700	5379
815	23729	5350
816	23758	5321
817	23786	5292
818	23814	5263
819	23843	5233
820	23871	5204
821	23899	5175
822	23927	5146
823	23956	5116
824	23984	5087
825	24013	5058
826	24043	5029
827	24070	5000
828	24099	4971
829	24127	4941
830	24157	4912
831	24185	4883
832	24215	4854
833	24244	4825
834	24272	4796
835	24301	4767
836	24330	4738
837	24358	4708
838	24388	4680
839	24416	4650
840	24443	4621
841	24473	4592
842	24503	4563
843	24530	4534
844	24561	4505
845	24587	4475
846	24617	4446
847	24649	4418
848	24678	4389
849	24707	4360
850	24735	4330
851	24762	4301
852	24791	4272
853	24819	4243
854	24852	4214
855	24884	4186
856	24914	4157
857	24942	4128
858	24971	4098
859	24999	4069
860	25028	4040
861	25057	4011
862	25086	3982
863	25114	3953
864	25143	3924
865	25171	3894
866	25199	3865
867	25229	3836
868	25258	3807
869	25289	3778
870	25317	3749
871	25345	3720
872	25373	3691
873	25402	3662
874	25431	3633
875	25461	3604
876	25490	3575
877	25520	3546
878	25548	3516
879	25576	3487
880	25607	3458
881	25638	3430
882	25666	3400
883	25695	3371
884	25724	3342
885	25754	3313
886	25781	3284
887	25809	3255
888	25839	3226
889	25866	3197
890	25896	3168
891	25925	3138
892	25955	3110
893	25985	3081
894	26016	3052
895	26044	3023
896	26075	2994
897	26103	2965
898	26132	2935
899	26160	2906
900	26190	2877
901	26219	2848
902	26249	2819
903	26277	2790
904	26308	2761
905	26337	2732
906	26366	2703
907	26372	2672
908	26401	2643
909	26431	2614
910	26461	2585
911	26490	2556
912	26518	2526
913	26545	2497
914	26573	2468
915	26604	2439
916	26633	2410
917	26661	2381
918	26691	2352
919	26721	2323
920	26749	2294
921	26776	2265
922	26805	2236
923	26834	2207
924	26861	2177
925	26893	2149
926	26922	2120
927	26950	2090
928	26978	2061
929	27006	2032
930	27034	2003
931	27062	1974
932	27092	1945
933	27109	1915
934	27141	1886
935	27173	1858
936	27204	1829
937	27234	1800
938	27262	1771
939	27293	1742
940	27321	1713
941	27351	1684
942	27380	1655
943	27408	1625
944	27438	1596
945	27468	1567
946	27498	1539
947	27529	1510
948	27561	1481
949	27593	1452
950	27624	1423
951	27654	1394
952	27683	1365
953	27711	1336
954	27741	1307
955	27770	1278
956	27799	1249
957	27828	1220
958	27859	1191
959	27888	1162
960	27918	1133
961	27952	1104
962	27982	1075
963	28012	1046
964	28042	1017
965	28073	988
966	28099	958
967	28129	929
968	28158	900
969	28189	871
970	28219	842
971	28251	813
972	28286	784
973	28315	755
974	28345	726
975	28382	697
976	28415	668
977	28445	639
978	28472	610
979	28503	581
980	28533	552
981	28562	523
982	28596	494
983	28627	465
984	28656	436
985	28687	407
986	28717	378
987	28746	349
988	28774	320
989	28802	290
990	28833	261
991	28861	232
992	28892	203
993	28925	174
994	28952	145
995	28981	116
996	29010	87
997	29038	58
998	29065	29
999	29096	0
