iter	RMSE
234	3038.534501
235	3030.531713
236	3020.348903
237	3010.463709
238	2984.268349
239	2961.184656
240	2950.833934
241	2944.35126
242	2909.567477
243	2881.419984
244	2846.162445
245	2820.004625
246	2795.996263
247	2772.734042
248	2752.542696
249	2750.39742
250	2714.368961
251	2684.493147
252	2653.602605
253	2628.864849
254	2617.326828
255	2587.800188
256	2554.22865
257	2536.159964
258	2501.514578
259	2475.222481
260	2451.059055
261	2418.584615
262	2401.755116
263	2378.232613
264	2359.315474
265	2350.709446
266	2326.943897
267	2316.07761
268	2303.576184
269	2279.259235
270	2275.332181
271	2257.110717
272	2237.863429
273	2212.523405
274	2193.306173
275	2178.047421
276	2152.032481
277	2125.768369
278	2103.735606
279	2083.756173
280	2078.131424
281	2055.347273
282	2035.087695
283	2018.513725
284	2007.446569
285	1986.012094
286	1963.098436
287	1944.01354
288	1917.378311
289	1897.467731
290	1880.80177
291	1860.279512
292	1847.595538
293	1833.402871
294	1818.685011
295	1803.652642
296	1790.844597
297	1767.958698
298	1746.822731
299	1735.796551
300	1717.526994
301	1708.223718
302	1694.127242
303	1673.467402
304	1659.330238
305	1647.130388
306	1635.987582
307	1626.178659
308	1615.098991
309	1596.403587
310	1578.724482
311	1561.988716
312	1559.609072
313	1538.894603
314	1514.204384
315	1505.137085
316	1496.05124
317	1481.153093
318	1469.32244
319	1455.17485
320	1444.591943
321	1431.439413
322	1416.263687
323	1408.08904
324	1390.414606
325	1371.028679
326	1356.503374
327	1345.563938
328	1338.343896
329	1327.083573
330	1308.840618
331	1300.367674
332	1282.69345
333	1266.241623
334	1258.243546
335	1248.267421
336	1246.587962
337	1230.31359
338	1224.905402
339	1218.999097
340	1207.979568
341	1196.881446
342	1185.251469
343	1182.250449
344	1170.781237
345	1165.619671
346	1163.860164
347	1156.236983
348	1148.390506
349	1147.969259
350	1140.653345
351	1125.491883
352	1111.971866
353	1105.443599
354	1101.164518
355	1085.545727
356	1084.05704
357	1083.701032
358	1074.660169
359	1061.030668
360	1054.680822
361	1045.905394
362	1037.265307
363	1031.217644
364	1021.407669
365	1010.492171
366	1001.438103
367	994.2803003
368	983.3320436
369	971.6665597
370	962.3361161
371	950.8787266
372	945.5219245
373	934.9911044
374	927.7282888
375	922.4712827
376	911.8542806
377	899.951887
378	895.2950221
379	895.0147346
380	890.5709553
381	880.8576396
382	874.4226604
383	868.4539982
384	858.1343483
385	852.3405954
386	843.4618968
387	832.8809765
388	822.3028276
389	816.7537358
390	808.8261279
391	800.1569944
392	792.8551643
393	787.4355716
394	779.5891235
395	773.4879153
396	766.2696606
397	759.8198579
398	755.948176
399	748.2318995
400	743.3036129
401	735.7998899
402	727.7549553
403	720.796843
404	713.9950849
